Seed,Model,Technique,Static_ms,Dynamic_ms
71,XGB,Quant INT8,0.0159,0.0258
71,MLP,Prune 25%,36.3131,35.426
71,MLP,Prune 50%,35.9378,38.3304
71,MLP,Prune 75%,36.6173,35.4146
71,RF,Prune 50%,0.0162,0.0168
71,RF,Prune 75%,0.0138,0.0133
71,RF,Prune 87%,0.0118,0.011
71,XGB,Prune 67%,0.015,0.0199
71,XGB,Prune 83%,0.0158,0.0224
71,XGB,Prune 92%,0.0108,0.0198
71,MLP,Distillation,36.4985,35.8108
